"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Q1","r363q0","r950q0","r566q0","r222q0","r984q0[Current_SQ01]","r984q0[Previous_SQ01]","r300q0","r59q0","G01Q09","G01Q12","G01Q10[SQ001]","G01Q11","G01Q15","G01Q14","G01Q13","interviewtime","groupTime1495","Q1Time","groupTime1496","r363q0Time","r950q0Time","r566q0Time","r222q0Time","r984q0Time","r300q0Time","r59q0Time","G01Q09Time","G01Q12Time","G01Q10Time","G01Q11Time","G01Q15Time","G01Q14Time","G01Q13Time"
"75","2022-10-27 17:53:43","2","en","2080008388","2022-10-27 17:26:29","2022-10-27 17:53:43","VP20","27","Male","German","First Officer","Airbus A320 family ","A319, A320","328","1199","1082","The size of the slider should be bigger, at least the touch-sensitive area. In a hectic environment (maybe even with motion) it was not easy to grab the slider handle and place it correctly.
Also maybe it would have been easier to find the right “number” if there was a graph underneath showing the level of performance on the y axis and the activation level on the x axis. It looks like an inverted U, the maximum would correspond with the number that represents the tipping point  where the performance degrades and things get lost. One could immediately with a single view set the slider past this point if one feels overwhelmed.","1","I feel like this was already stressful, however the scenario was a bit forced (restarting the engine would not be attempted if the other one is working fine, everyone would have returned to Braunschweig immediately), If you really want to trigger maximum stress, set one engine on fire (inextinguishable) and fail the other one both right after takeoff. And maybe have bad weather and fail the ILS. But this would not result in a slow buildup of stress but rather a sudden onset.","Let’s start with the worst: The rudder. It is way too sensitive! Simply trying to takeoff or land and staying on the runway is impossible, especially with crosswind. Next, rudder trim only allows for a value of 2.0. For an engine failure, a value of around 10 is needed. I don’t know if force Feedback on the rudder pedals worked, but usually one can trim the rudder until no pressure on the pedals is needed anymore to keep the aircraft straight. Also the beta target on the PFD did not work (critical feature for an engine failure!).
The font and font size on almost every display is wrong, ND, pfd, MCDU don’t look familiar. The ND did not show a green line straight forward when flying in heading mode which it should.
The side sticks are too sensitive and don’t “feel right”.
System depth seems to be lacking a lot. As an example: Our left tank had a leak and was empty, however the APU continued to run although it is supplied out of the left tank. In flight, the ditching push button somehow turned on and could not be turned off again. This resulted in an increase of differential pressure since the outflow valve was closed. We opened it manually, but the indication stayed closed. Cabin altitude rose and did not stop rising, going even above our airplane altitude and releasing the oxygen masks.
Direct law was almost completely unflyable, it somehow required full sidestick deflections and even that was not enough to turn the airplane.
The simulator crashes when working on the flight plan in the FMS.

So overall I would say it is a bad platform to do serious research on as the pilots are constantly questioning weather something is intentional or a quirk of the simulator and fighting with the controls.","Get a new, professional and certified simulator :D","","1634.98","23.16","","1611.82","","","","","","","","","","","","","",""
"77","2022-10-27 21:00:09","2","en","323224596","2022-10-27 20:34:30","2022-10-27 21:00:09","VP15","33","Male","German","First Officer","A320 Fam","none","0","3200","2900","The handling of the slider was easy. It would have been nice if there were markers stating a gross stress level like it was mentioned during the briefing.","6","A combination of failures where the state of the aircraft and the original cause is not obvious on the first glance. Such scenario might be an ECAM Failure (like engine problems in the study case) with additional ""unreliable airspeed"" indications e.g. due to probe failures. Whereas at the end of the Engine Fail/Stall/Oil Overheat Procedure the technical state is quite clear and somewhat ""secured"", meaning there is no more possibility to improve the state nor unclear conditions to cope with.","some parameters did not behave as expected.
Since i was not the original Pilot Flying in Scenario 2 I cannot tell the behaviour of the AVES during the Eng Fail/Shutdown. The Beta Target was missing and in a previous study the induced Yaw moment was missing.
For my subjective perception the Direct Law handling was different as I know it from Level D certified FSTD (luckily I never experienced it in a real AC). 
","-","Thank you for the possibility to be part of this study!","1539.53","8.82","","1530.71","","","","","","","","","","","","","",""
"79","2022-10-27 22:05:44","2","en","335996619","2022-10-27 22:02:00","2022-10-27 22:05:44","VP5","64","Male","german","Captain","A380","B737, DC10, A320, A330, A340","0","18000","12000","good","2","Unrecognized Fuel Leak with Engine Out","quite OK, it is not a Level D Simulator of course","---","---","204.81","30.26","","174.55","","","","","","","","","","","","","",""
"82","2022-10-28 10:31:50","2","en","1862810873","2022-10-28 10:22:42","2022-10-28 10:31:50","VP2","37","Male","German","First Officer","A320 family","none","500","3400","3400","The slider scale was difficult to handle as the slider sometimes didn'T follow my finger. As attention time was limited while flying the aircraft I sometimes just accepted the current slider value instead of adapting it to a more appropriate value which would have resulted in a genthy process. Therefor I would suggest using a numeric pad, where numbers can be easily entered by touching, rather then sliding.... ","2","The most stress I experienced when the rudder inputs to counteract the unequal thrust during the engine failure did not work well and rather worsened the state of the aircraft. This was not in accordance with the indication of the Beta Target on the PFD. Thus, I would say if instruments do not display correctly or switches do not work or work in an unexpected matter, this causes maximum stress, as you do not longer are able to trust your inputs... ","I likes the scenario. Multiple ""different"" (originating from different sources) failures are probably not so realistic, but they induce stress. The goal: Reach your limits was therefore fulfilled. ","Please optimize the Rudder as well as the beta target (slip) indication. Otherwise scenarios like engine failures or crosswind cannot be handled realistically. ","was a great experience. Thanks very much for inviting!","548.02","10.05","","537.97","","","","","","","","","","","","","",""
"85","2022-10-28 18:46:13","2","en","1892933258","2022-10-28 18:42:46","2022-10-28 18:46:13","VP6","30","Male","german","First Officer","A320","none","20","3000","2900","was good","3","Dual HYD like G+Y","System depth was good, but the AVES does not provide a realistic feel like an A320 FFS because of the rudder sensitivity and the artificial feel sidestick","no","","207.4","12.7","","194.7","","","","","","","","","","","","","",""
"86","2022-10-28 18:58:07","2","en","411464587","2022-10-28 18:46:57","2022-10-28 18:58:07","VP3","41","Male","Germany","Captain","A320FAM","Training A/C like PA42, Beech Bonanza and private Ultralight Aircrafts.","4","9200","8500","Easy to operate.
Unfortunately no space left for charts to have a quick look at.","2","Any dynamic failure at low altitude.","Quite realistic.
Behavior of the a/c after Engine failure could be improved, e.g. rudder input and  trim required.","Very nice visual.
Realistic handling especially during normal operations.","Thank you very much for the professional and really friendly environment.
Was fun to fly with You!!!","669.62","12.45","","657.17","","","","","","","","","","","","","",""
"88","2022-10-29 15:33:39","2","en","1320212722","2022-10-29 15:30:18","2022-10-29 15:33:39","VP19","46","Male","German","Captain","A320","B737, MD11,A330/340","550","17000","2000","A","4","Similar to second one with multiple failures ","Ok","Thrust levers to hard. Fms needs improvement ","A","200.01","11.62","","188.39","","","","","","","","","","","","","",""
"89","2022-10-30 01:20:05","2","en","1368552409","2022-10-30 01:00:06","2022-10-30 01:20:05","VP17","49","Male","german","Captain","Airbus A319/A320/A321","Avro RJ85, Airbus A300/A310, Airbus A330/A340","500","13500","500","The slider scale operation was self-explanatory.
Quite frequently, the slider only reacted on the second or third touch.","8","Contributing factors for stress:
- weather (CB's, windshear, strong crosswinds/tailwinds)
- ATC (crowded frequency, wrong frequency, ATC instructions leading to a TCAS event)
- crew/PAX issues (cabin calls, sick passengers)","Visual:
- normal simulator standard

Flight Controls:
- sidestick and especially the rudder do not provide a realistic flight experience (struggling to keep the airplane on the runway adds a lot of unnecessary stress)

Flight Management / Guidance
- misbehaviour of certain FMS pages lead to a reduction of simulator realism
- sinkrates in selected (open) descent felt not realistic for A320

System Malfunctions / ECAM Procedures
- the provided faults felt realistic
","NIL","Please provide relaxing chairs for the 15 Minutes pulse evaluation phase ;)","1196.86","7.77","","1189.09","","","","","","","","","","","","","",""
"93","2022-10-30 21:25:10","2","en","1723160275","2022-10-30 21:11:11","2022-10-30 21:25:10","VP14","34","Male","german","First Officer","A320,319,321","B737","700","4000","2000","there should be no increments between numbers 1-10. Like 5,4. this scale is to detailed and distracs during the scenario . the slider should jump directly to the number 5 or 4. nothing inbetween.","3","less time due to less fuel. No exit strategy or plan B. Like during the approach only 300 kg of fuel in tanks though a goaround would be possible. Pilots do always have a plan B. If this doesn't exist anymore, the stress would be very high. 
","Simulation during normal ops was good concerning FCU, guidance Modes and AP/FD behaviour as well as motion. ECAM warnings were sometimes false or not according the real Airbus. Main disadvantag is the rudder. It's overcontrolling and completely different feeling. In contrast to the diffrent Sidestick-feeling, the diffrent rudder feeling made the flying very difficult. 
two situation arouse were the AVES could not be controlled by the rudder because of simulation problems. Maximum rudder deflection was not enough to return to the center line during engine failure. Though the trust in the AVES being a full flight simulator was reduced.  
The visual was good and helpful for the flight.","not at the moment","","839.54","12.91","","826.63","","","","","","","","","","","","","",""
"96","2022-10-31 15:41:58","2","en","1076849440","2022-10-31 15:27:54","2022-10-31 15:41:58","VP13","48","Male","German","Captain","A320fam","B737 B747-200","650","16800","12000","It might be better to have only numbers to click on - sometimes I just only clicked to have clicked, without thinking, what numbder to click","7","Scenario 2 triggers max stress, but the number of failures is quite a bit unrealistic - the scenario is very demanding and - if everything went well - a good training for each pilot to strengthen self-confidence","The ECAM works not as in the airplane.
Engine out is very demanding - I guess you have to return the rudder pedals to neutral after selecting the rudder trim, which is very unrealistic.
Flying with one engine out and direct law is hardly controlable.","Usage of the thrust levers quite hard.
Sidestick movements not too realistic, but manageable","Very impressive and instructive day.","844.5","9.06","","835.44","","","","","","","","","","","","","",""
