Response ID,Date submitted,Last page,Start language,Seed,Date started,Date last action,ID,Scenario,MD,PhD,TD,Perf,Effort,FD,Realism,Total time,Group time: ID,SP,Question time: G01Q31,Group time: Workload,Question time: NASA1,Question time: NASA2,Question time: NASA3,Question time: NASA4,Question time: NASA5,Question time: NASA6,Group time: Degree of reality,Question time: G03Q09
26,08.04.22 10:35,3,en,1851147160,08.04.22 10:30,08.04.22 10:35,VP1,Scenario 1,11,5,13,7,13,11,18,252.51,11.26,1,,230.19,,,,,,,11.06,
27,08.04.22 10:49,3,en,1534703341,08.04.22 10:48,08.04.22 10:49,VP1 ,Scenario 2,18,14,18,8,18,17,20,89.01,12.23,1,,70.29,,,,,,,6.49,
28,08.04.22 11:03,3,en,1359640680,08.04.22 11:01,08.04.22 11:03,VP1,Scenario 3,18,16,17,13,18,20,6,119.15,13.92,1,,96.01,,,,,,,9.22,
29,08.04.22 11:24,3,en,332254223,08.04.22 11:23,08.04.22 11:24,VP1,Scenario 4,11,6,7,9,8,5,20,68.81,8.09,1,,54.12,,,,,,,6.6,
30,08.04.22 11:39,3,en,501253173,08.04.22 11:36,08.04.22 11:39,VP1,Scenario 5,14,8,14,8,14,12,18,137.93,8.52,1,,122.28,,,,,,,7.13,
32,08.04.22 15:08,3,en,166358247,08.04.22 15:05,08.04.22 15:08,VP2,Scenario 1,14,12,13,8,14,15,20,168.43,17.02,1,,115.91,,,,,,,35.5,
33,08.04.22 15:11,3,en,1152466863,08.04.22 15:08,08.04.22 15:11,VP2,Scenario 2,20,12,17,15,20,20,20,186.81,9.57,1,,155.8,,,,,,,21.44,
34,08.04.22 15:31,3,en,464904752,08.04.22 15:29,08.04.22 15:31,VP2,Scenario 3,15,10,15,15,17,18,15,132.32,10.52,1,,89.19,,,,,,,32.61,
35,08.04.22 15:42,3,en,528835525,08.04.22 15:41,08.04.22 15:42,VP2,Scenario 4,8,10,7,10,10,12,14,94.25,10.45,1,,71.28,,,,,,,12.52,
36,08.04.22 15:53,3,en,1804607298,08.04.22 15:52,08.04.22 15:53,VP2,Scenario 5,5,5,4,5,5,5,13,92.7,7.31,1,,78.3,,,,,,,7.09,
40,11.04.22 10:40,3,en,89539047,11.04.22 10:39,11.04.22 10:40,VP3,Scenario 3,12,5,18,16,14,19,18,60.84,10.27,1,,39.96,,,,,,,10.61,
41,11.04.22 10:53,3,en,1678812467,11.04.22 10:52,11.04.22 10:53,VP3,Scenario 2,12,4,12,9,16,12,14,61.32,18.57,1,,39.98,,,,,,,2.77,
42,11.04.22 11:04,3,en,1699505940,11.04.22 11:04,11.04.22 11:04,VP3,Scenario 4,14,6,8,9,15,16,14,46.99,18.8,1,,25.33,,,,,,,2.86,
43,11.04.22 11:18,3,en,855392275,11.04.22 11:17,11.04.22 11:18,VP3,Scenario 1,12,3,5,7,12,6,17,41.17,8.93,1,,26.62,,,,,,,5.62,
44,11.04.22 11:30,3,en,1756575637,11.04.22 11:29,11.04.22 11:30,VP3,Scenario 5,16,3,9,12,16,12,16,46.11,10.09,1,,34,,,,,,,2.02,
45,11.04.22 12:50,3,en,1179332767,11.04.22 12:48,11.04.22 12:50,VP4,Scenario 2,14,6,12,5,12,11,14,122.31,14.75,1,,88.41,,,,,,,19.15,
46,11.04.22 13:03,3,en,729498086,11.04.22 13:00,11.04.22 13:03,VP4,Scenario 4,16,8,7,7,13,9,6,155.74,91.37,1,,52.43,,,,,,,11.94,
47,11.04.22 13:17,3,en,1231082170,11.04.22 13:15,11.04.22 13:17,VP4,Scenario 3,16,13,6,5,10,12,8,90.1,39.26,1,,44.19,,,,,,,6.65,
48,11.04.22 13:28,3,en,1042999550,11.04.22 13:25,11.04.22 13:28,VP4,Scenario 1,6,3,6,2,6,3,20,152.31,10.44,1,,138.77,,,,,,,3.1,
49,11.04.22 13:41,3,en,831960534,11.04.22 13:39,11.04.22 13:41,VP4,Scenario 5,13,4,3,13,10,12,8,98.31,8.41,1,,82.7,,,,,,,7.2,
50,11.04.22 14:45,3,en,1962233830,11.04.22 14:43,11.04.22 14:45,VP5,Scenario 3,13,9,10,6,12,2,7,77.18,18.73,1,,44.21,,,,,,,14.24,
51,11.04.22 14:56,3,en,1395133972,11.04.22 14:55,11.04.22 14:56,VP5,Scenario 1,5,2,3,3,6,0,18,86.28,33.56,1,,47.26,,,,,,,5.46,
52,11.04.22 15:07,3,en,1585875196,11.04.22 15:06,11.04.22 15:07,VP5,Scenario 4,15,13,8,10,14,6,9,99.58,9.45,1,,82.75,,,,,,,7.38,
53,11.04.22 15:19,3,en,2104369512,11.04.22 15:18,11.04.22 15:19,VP5,Scenario 2,20,11,18,9,19,8,5,81.47,9.96,1,,65.91,,,,,,,5.6,
54,11.04.22 15:32,3,en,683557681,11.04.22 15:31,11.04.22 15:32,VP5,Scenario 5,15,14,13,7,11,4,8,85.09,11.83,1,,66.31,,,,,,,6.95,
55,12.04.22 10:19,3,en,967706675,12.04.22 10:18,12.04.22 10:19,VP6,Scenario 3,18,17,17,20,18,16,6,110.24,9.04,1,,76.93,,,,,,,24.27,
56,12.04.22 10:30,3,en,1416413697,12.04.22 10:29,12.04.22 10:30,VP6,Scenario 1,3,3,0,0,5,1,20,60.91,9.83,1,,45.55,,,,,,,5.53,
57,12.04.22 10:45,3,en,559251554,12.04.22 10:43,12.04.22 10:45,VP6,Scenario 2,15,12,9,2,16,12,16,98.32,13.2,1,,59.93,,,,,,,25.19,
58,12.04.22 10:58,3,en,1101339571,12.04.22 10:54,12.04.22 10:58,VP6,Scenario 4,15,15,13,3,14,5,16,229.75,110.5,1,,108.08,,,,,,,11.17,
59,12.04.22 11:10,3,en,703432228,12.04.22 11:08,12.04.22 11:10,VP6,Scenario 5,16,13,8,6,12,13,16,86.6,23.38,1,,56.95,,,,,,,6.27,
60,12.04.22 12:48,3,en,994951520,12.04.22 12:44,12.04.22 12:48,VP7,Scenario 4,16,4,15,10,16,7,13,220.1,15.49,1,,177.63,,,,,,,26.98,
61,12.04.22 12:59,3,en,53348405,12.04.22 12:57,12.04.22 12:59,VP7,Scenario 3,16,4,12,16,15,6,10,94.92,14.45,1,,58.98,,,,,,,21.49,
62,12.04.22 13:11,3,en,1622051957,12.04.22 13:10,12.04.22 13:11,VP7,Scenario 2,10,4,7,3,10,3,18,67.96,13.59,1,,44.57,,,,,,,9.8,
63,12.04.22 13:22,3,en,529924905,12.04.22 13:21,12.04.22 13:22,VP7,Scenario 1,6,2,6,2,8,0,20,46.89,7.75,1,,35.23,,,,,,,3.91,
64,12.04.22 13:33,3,en,1713263871,12.04.22 13:31,12.04.22 13:33,VP7,Scenario 5,12,3,11,5,12,2,7,89.56,10.92,1,,69.62,,,,,,,9.02,
65,12.04.22 14:23,3,en,1413067580,12.04.22 14:22,12.04.22 14:23,VP8,Scenario 2,14,5,15,12,13,14,19,91.03,11.75,1,,73.61,,,,,,,5.67,
66,12.04.22 14:35,3,en,382863057,12.04.22 14:34,12.04.22 14:35,VP8,Scenario 3,17,10,13,6,17,16,16,87.84,14.41,1,,66.73,,,,,,,6.7,
67,12.04.22 14:49,3,en,366410566,12.04.22 14:48,12.04.22 14:49,VP8,Scenario 1,8,5,8,3,10,10,20,55.14,14.76,1,,35.78,,,,,,,4.6,
68,12.04.22 15:00,3,en,765388624,12.04.22 14:59,12.04.22 15:00,VP8,Scenario 4,16,9,16,13,18,18,17,63.29,22.35,1,,35.46,,,,,,,5.48,
69,12.04.22 15:11,3,en,1404548127,12.04.22 15:10,12.04.22 15:11,VP8,Scenario 5,16,11,17,12,17,17,14,64.48,12.28,1,,44.81,,,,,,,7.39,
70,13.04.22 10:12,3,en,597452082,13.04.22 10:10,13.04.22 10:12,VP9,Scenario 2,16,5,13,7,14,6,2,138.68,15.95,1,,96.98,,,,,,,25.75,
71,13.04.22 10:25,3,en,10980070,13.04.22 10:23,13.04.22 10:25,VP9,Scenario 4,10,16,14,14,13,7,14,112.35,9.92,1,,95.35,,,,,,,7.08,
72,13.04.22 10:37,3,en,689853368,13.04.22 10:36,13.04.22 10:37,VP9,Scenario 1,5,1,1,2,3,3,18,42.84,9.83,1,,29.19,,,,,,,3.82,
73,13.04.22 10:49,3,en,1032703160,13.04.22 10:48,13.04.22 10:49,VP9,Scenario 3,15,14,14,11,14,6,14,54.69,10.84,1,,38.11,,,,,,,5.74,
74,13.04.22 11:04,3,en,1714186738,13.04.22 11:02,13.04.22 11:04,VP9,Scenario 5,14,11,10,15,15,16,15,140.64,12.49,1,,98.87,,,,,,,29.28,
75,13.04.22 12:49,3,en,1129751950,13.04.22 12:48,13.04.22 12:49,VP10,Scenario 2,10,6,15,4,10,5,17,86.14,10.13,1,,61.79,,,,,,,14.22,
76,13.04.22 13:03,3,en,1241191233,13.04.22 13:00,13.04.22 13:03,VP10,Scenario 1,7,10,6,6,14,7,20,184.66,31.21,1,,149.11,,,,,,,4.34,
77,13.04.22 13:17,3,en,436406470,13.04.22 13:15,13.04.22 13:17,VP10,Scenario 4,13,16,10,7,10,9,5,115.07,44.56,1,,62.67,,,,,,,7.84,
78,13.04.22 13:27,3,en,1016127559,13.04.22 13:25,13.04.22 13:27,VP10,Scenario 3,15,18,14,3,15,9,12,110.77,7.6,1,,90.13,,,,,,,13.04,
